BLTE,Black Tern (138 of 1222)
WWTE,White-winged Tern (139 of 1222)
WHIT,Whiskered Tern (140 of 1222)
BRNO,Brown Noddy (141 of 1222)
BLNO,Black Noddy (142 of 1222)
BGNO,Blue-gray Noddy (143 of 1222)
WHTE,White Tern (144 of 1222)
BLSK,Black Skimmer (145 of 1222)
BFAL,Black-footed Albatross (146 of 1222)
WAAL,Wandering Albatross (147 of 1222)
HYAL,Hybrid Albatross (148 of 1222)
STAL,Short-tailed Albatross (149 of 1222)
LAAL,Laysan Albatross (150 of 1222)
BBAL,Black-browed Albatross (151 of 1222)
SHAL,Shy Albatross (152 of 1222)
WAVA,Waved Albatross (153 of 1222)
YNAL,Yellow-nosed Albatross (154 of 1222)
NOFU,Northern Fulmar (155 of 1222)
COSH,Cory's Shearwater (156 of 1222)
STRS,Streaked Shearwater (157 of 1222)
GRSH,Great Shearwater (158 of 1222)
MASH,Manx Shearwater (159 of 1222)
PFSH,Pink-footed Shearwater (160 of 1222)
AUSH,Audubon's Shearwater (161 of 1222)
LISH,Little Shearwater (162 of 1222)
TRSH,Tropical Shearwater (163 of 1222)
BVSH,Black-vented Shearwater (164 of 1222)
TOSH,Townsend's Shearwater (165 of 1222)
NESH,Newell's Shearwater (166 of 1222)
SOSH,Sooty Shearwater (167 of 1222)
FFSH,Flesh-footed Shearwater (168 of 1222)
SHOS,Short-tailed Shearwater (169 of 1222)
WTSH,Wedge-tailed Shearwater (170 of 1222)
BULS,Buller's Shearwater (171 of 1222)
CHSH,Christmas Shearwater (172 of 1222)
BCPE,Black-capped Petrel (173 of 1222)
COPE,Cook's Petrel (174 of 1222)
HAPE,Hawaiian Petrel (175 of 1222)
JFPE,Juan Fernandez Petrel (176 of 1222)
PHPE,Phoenix Petrel (177 of 1222)
MOPE,Mottled Petrel (178 of 1222)
BOPE,Bonin Petrel (179 of 1222)
BWPE,Black-winged Petrel (180 of 1222)
MUPE,Murphy's Petrel (181 of 1222)
STPE,Stejneger's Petrel (182 of 1222)
TAPE,Tahiti Petrel (183 of 1222)
BUPE,Bulwer's Petrel (184 of 1222)
CAPE,Cape Petrel (185 of 1222)
LTSP,Least Storm-Petrel (186 of 1222)
FTSP,Fork-tailed Storm-Petrel (187 of 1222)
LHSP,Leach's Storm-Petrel (188 of 1222)
BANP,Band-rumped Storm-Petrel (189 of 1222)
WRSP,Wedge-rumped Storm-Petrel (190 of 1222)
BLSP,Black Storm-Petrel (191 of 1222)
TRSP,Tristram's Storm-Petrel (192 of 1222)
ASSP,Ashy Storm-Petrel (193 of 1222)
WISP,Wilson's Storm-Petrel (194 of 1222)
WHSP,White-throated Storm-Petrel (195 of 1222)
WFSP,White-faced Storm-Petrel (196 of 1222)
WTTR,White-tailed Tropicbird (197 of 1222)
RBTR,Red-billed Tropicbird (198 of 1222)
RTTR,Red-tailed Tropicbird (199 of 1222)
MABO,Masked Booby (200 of 1222)
BFBO,Blue-footed Booby (201 of 1222)
NABO,Nazca Booby (202 of 1222)
BRBO,Brown Booby (203 of 1222)
RFBO,Red-footed Booby (204 of 1222)
NOGA,Northern Gannet (205 of 1222)
ANHI,Anhinga (206 of 1222)
GRCO,Great Cormorant (207 of 1222)
DCCO,Double-crested Cormorant (208 of 1222)
GUCO,Guanay Cormorant (209 of 1222)
NECO,Neotropic Cormorant (210 of 1222)
BRAC,Brandt's Cormorant (211 of 1222)
PECO,Pelagic Cormorant (212 of 1222)
RFCO,Red-faced Cormorant (213 of 1222)
AWPE,American White Pelican (214 of 1222)
BRPE,Brown Pelican (215 of 1222)
MAFR,Magnificent Frigatebird (216 of 1222)
GRFR,Great Frigatebird (217 of 1222)
LEFR,Lesser Frigatebird (218 of 1222)
COME,Common Merganser (219 of 1222)
RBME,Red-breasted Merganser (220 of 1222)
HOME,Hooded Merganser (221 of 1222)
MALL,Mallard (222 of 1222)
HAWD,Hawaiian Duck (223 of 1222)
LADU,Laysan Duck (224 of 1222)
MHDH,Mallard X Hawaiian Duck Hybrid (225 of 1222)
MBDX,Mallard X American Black Duck Intermediate (226 of 1222)
MBDH,Mallard X American Black Duck Hybrid (227 of 1222)
MALX,Mallard Dominant X American Black Duck Hybrid (228 of 1222)
ABDU,American Black Duck (229 of 1222)
MEDU,Mexican Duck (230 of 1222)
ABDX,American Black Duck Dominant X Mallard Hybrid (231 of 1222)
MODU,Mottled Duck (232 of 1222)
GADW,Gadwall (233 of 1222)
EUWI,Eurasian Wigeon (234 of 1222)
AMWI,American Wigeon (235 of 1222)
FATE,Falcated Teal (236 of 1222)
GWTE,Green-winged Teal species (237 of 1222)
EGWT,European Green-winged Teal (238 of 1222)
AGWT,Green-winged Teal (239 of 1222)
BATE,Baikal Teal (240 of 1222)
GARG,Garganey (241 of 1222)
BWTE,Blue-winged Teal (242 of 1222)
UNTE,Unidentified Teal (243 of 1222)
CITE,Cinnamon Teal (244 of 1222)
NSHO,Northern Shoveler (245 of 1222)
NOPI,Northern Pintail (246 of 1222)
WHIP,White-cheeked Pintail (247 of 1222)
OHDU,Other Hybrid Duck (248 of 1222)
WODU,Wood Duck (249 of 1222)
MUDU,Muscovy Duck (250 of 1222)
REDH,Redhead (251 of 1222)
CPOC,Common Pochard (252 of 1222)
CANV,Canvasback (253 of 1222)
GRSC,Greater Scaup (254 of 1222)
LESC,Lesser Scaup (255 of 1222)
TUDU,Tufted Duck (256 of 1222)
RNDU,Ring-necked Duck (257 of 1222)
COGO,Common Goldeneye (258 of 1222)
BAGO,Barrow's Goldeneye (259 of 1222)
BUFF,Bufflehead (260 of 1222)
LTDU,Long-tailed Duck (261 of 1222)
HARD,Harlequin Duck (262 of 1222)
STEI,Steller's Eider (263 of 1222)
SPEI,Spectacled Eider (264 of 1222)
COEI,Common Eider (265 of 1222)
KIEI,King Eider (266 of 1222)
BLSC,Black Scoter (267 of 1222)
WWSC,White-winged Scoter (268 of 1222)
SUSC,Surf Scoter (269 of 1222)
RUDU,Ruddy Duck (270 of 1222)
MADU,Masked Duck (271 of 1222)
LSGO,Lesser Snow Goose (272 of 1222)
BLGO,Blue Goose (273 of 1222)
SBGI,Snow X Blue Goose Intergrade (274 of 1222)
BGSG,Blue Greater Snow Goose (275 of 1222)
GSGO,Greater Snow Goose (276 of 1222)
ROGO,Ross's Goose (277 of 1222)
SRGH,Snow X Ross's Goose Hybrid (278 of 1222)
GWFG,Greater White-fronted Goose (279 of 1222)
TABG,Taiga Bean-Goose (280 of 1222)
PFGO,Pink-footed Goose (281 of 1222)
LWFG,Lesser White-fronted Goose (282 of 1222)
OHGO,Other Hybrid Goose (283 of 1222)
TWFG,Tule White-fronted Goose (284 of 1222)
CAGO,Canada Goose (285 of 1222)
ACGO,Aleutian Canada Goose (286 of 1222)
CACG,Cackling Goose (287 of 1222)
LCGO,Large Canada Goose (288 of 1222)
SCGO,Small Canada Goose (289 of 1222)
ATBR,Atlantic Brant (290 of 1222)
BABI,Black X Atlantic Brant Intergrade (291 of 1222)
BLBR,Black Brant (292 of 1222)
BRNG,Barnacle Goose (293 of 1222)
HAGO,Hawaiian Goose (294 of 1222)
EMGO,Emperor Goose (295 of 1222)
BBWD,Black-bellied Whistling-Duck (296 of 1222)
WIWD,West Indian Whistling-Duck (297 of 1222)
FUWD,Fulvous Whistling-Duck (298 of 1222)
MUSW,Mute Swan (299 of 1222)
WHOS,Whooper Swan (300 of 1222)
WHSW,Whistling Swan (301 of 1222)
BESW,Bewick's Swan (302 of 1222)
TRUS,Trumpeter Swan (303 of 1222)
AMFL,American Flamingo (304 of 1222)
ROSP,Roseate Spoonbill (305 of 1222)
