code,common_name,scientific_name,order
WIWO,West Indian Woodpecker,Melanerpes superciliaris,526
GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons,527
GIWO,Gila Woodpecker,Melanerpes uropygialis,528
YSFL,Yellow-shafted Flicker,Colaptes auratus auratus,529
FLIN,Northern Flicker,Colaptes auratus,530
RSFL,Red-shafted Flicker,Colaptes auratus cafer,531
GIFL,Gilded Flicker,Colaptes chrysoides,532
CWWI,Chuck-will's-widow,Antrostomus carolinensis,533
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,534
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,535
PRNI,Puerto Rican Nightjar,Antrostomus noctitherus,536
MWPW,Mexican Whip-poor-will,Antrostomus arizonae,537
COPO,Common Poorwill,Phalaenoptilus nuttallii,538
COPA,Common Pauraque,Nyctidromus albicollis,539
CONI,Common Nighthawk,Chordeiles minor,540
ANNI,Antillean Nighthawk,Chordeiles gundlachii,541
LENI,Lesser Nighthawk,Chordeiles acutipennis,542
BLSW,Black Swift,Cypseloides niger,543
CHSW,Chimney Swift,Chaetura pelagica,544
STSW,Short-tailed Swift,Chaetura brachyura,545
VASW,Vaux's Swift,Chaetura vauxi,546
WTSW,White-throated Swift,Aeronautes saxatalis,547
MAHU,Magnificent Hummingbird,Eugenes fulgens,548
PCST,Plain-capped Starthroat,Heliomaster constantii,549
BLUH,Blue-throated Hummingbird,Lampornis clemenciae,550
GVIO,Green Violetear,Colibri thalassinus,551
RTHU,Ruby-throated Hummingbird,Archilochus colubris,552
BCHU,Black-chinned Hummingbird,Archilochus alexandri,553
COHU,Costa's Hummingbird,Calypte costae,554
ANHU,Anna's Hummingbird,Calypte anna,555
BTLH,Broad-tailed Hummingbird,Selasphorus platycercus,556
RUHU,Rufous Hummingbird,Selasphorus rufus,557
ALHU,Allen's Hummingbird,Selasphorus sasin,558
BUHU,Bumblebee Hummingbird,Atthis heloisa,559
CAHU,Calliope Hummingbird,Selasphorus calliope,560
JAMA,Jamaican Mango,Anthracothorax mango,561
GRMA,Green Mango,Anthracothorax viridis,562
GTCA,Green-throated Carib,Eulampis holosericeus,563
ACHU,Antillean Crested Hummingbird,Orthorhyncus cristatus,564
GREM,Green-breasted Mango,Anthracothorax prevostii,565
LUHU,Lucifer Hummingbird,Calothorax lucifer,566
BAWO,Bahama Woodstar,Calliphlox evelynae,567
RUFH,Rufous-tailed Hummingbird,Amazilia tzacatl,568
BEHU,Berylline Hummingbird,Amazilia beryllina,569
BUFH,Buff-bellied Hummingbird,Amazilia yucatanensis,570
VCHU,Violet-crowned Hummingbird,Amazilia violiceps,571
WEHU,White-eared Hummingbird,Hylocharis leucotis,572
PREM,Puerto Rican Emerald,Chlorostilbon maugaeus,573
HYHU,Hybrid Hummingbird,,574
UNHU,Unidentified Hummingbird,Trochilidae sp.,575
BBLH,Broad-billed Hummingbird,Cynanthus latirostris,576
RTBE,Rose-throated Becard,Pachyramphus aglaiae,577
FTFL,Fork-tailed Flycatcher,Tyrannus savana,578
STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,579
EAKI,Eastern Kingbird,Tyrannus tyrannus,580
GRAK,Gray Kingbird,Tyrannus dominicensis,581
TBKI,Thick-billed Kingbird,Tyrannus crassirostris,582
LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,583
TRKI,Tropical Kingbird,Tyrannus melancholicus,584
COKI,Couch's Kingbird,Tyrannus couchii,585
WEKI,Western Kingbird,Tyrannus verticalis,586
CAKI,Cassin's Kingbird,Tyrannus vociferans,587
GKIS,Great Kiskadee,Pitangus sulphuratus,588
SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,589
GCFL,Great Crested Flycatcher,Myiarchus crinitus,590
BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,591
NUFL,Nutting's Flycatcher,Myiarchus nuttingi,592
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,593
DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,594
LSFL,La Sagra's Flycatcher,Myiarchus sagrae,595
PRFL,Puerto Rican Flycatcher,Myiarchus antillarum,596
STOF,Stolid Flycatcher,Myiarchus stolidus,597
LESF,Lesser Antillean Flycatcher,Myiarchus oberi,598
EAPH,Eastern Phoebe,Sayornis phoebe,599
SAPH,Say's Phoebe,Sayornis saya,600
BLPH,Black Phoebe,Sayornis nigricans,601
OSFL,Olive-sided Flycatcher,Contopus cooperi,602
GRPE,Greater Pewee,Contopus pertinax,603
EAWP,Eastern Wood-Pewee,Contopus virens,604
WEWP,Western Wood-Pewee,Contopus sordidulus,605
CUPE,Cuban Pewee,Contopus caribaeus,606
LAPE,Lesser Antillean Pewee,Contopus latirostris,607
JAPE,Jamaican Pewee,Contopus pallidus,608
HIPE,Hispaniolan Pewee,Contopus hispaniolensis,609
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,610
COFL,Cordilleran Flycatcher,Empidonax occidentalis,611
PSFL,Pacific-slope Flycatcher,Empidonax difficilis,612
WEFL,Western Flycatcher,Empidonax difficilis/occid.,613
ACFL,Acadian Flycatcher,Empidonax virescens,614
WIFL,Willow Flycatcher,Empidonax traillii,615
ALFL,Alder Flycatcher,Empidonax alnorum,616
SWFL,Southwestern Willow Flycatcher,Empidonax traillii extimus,617
TRFL,Traill's Flycatcher,Empidonax alnorum/traillii,618
LEFL,Least Flycatcher,Empidonax minimus,619
UNEM,Unidentified Empidonax,Empidonax sp.,620
HAFL,Hammond's Flycatcher,Empidonax hammondii,621
DUFL,Dusky Flycatcher,Empidonax oberholseri,622
GRFL,Gray Flycatcher,Empidonax wrightii,623
BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,624
VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,625
GREL,Greenish Elaenia,Myiopagis viridicata,626
NBTY,Northern Beardless-Tyrannulet,Camptostoma imberbe,627
CAEL,Caribbean Elaenia,Elaenia martinica,628
SKLA,Sky Lark,Alauda arvensis,629
HOLA,Horned Lark,Eremophila alpestris,630
SHLA,Streaked Horned Lark,Eremophila alpestris strigata,631
BBMA,Black-billed Magpie,Pica hudsonia,632
YBMA,Yellow-billed Magpie,Pica nuttalli,633
BLJA,Blue Jay,Cyanocitta cristata,634
STJA,Steller's Jay,Cyanocitta stelleri,635
FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,636
WESJ,Western Scrub-Jay,Aphelocoma californica,637
ISSJ,Island Scrub-Jay,Aphelocoma insularis,638
MEJA,Mexican Jay,Aphelocoma wollweberi,639
GREJ,Green Jay,Cyanocorax yncas,640
BRJA,Brown Jay,Psilorhinus morio,641
GRAJ,Gray Jay,Perisoreus canadensis,642
CORA,Common Raven,Corvus corax,643
CHRA,Chihuahuan Raven,Corvus cryptoleucus,644
WNCR,White-necked Crow,Corvus leucognaphalus,645
AMCR,American Crow,Corvus brachyrhynchos,646
NOCR,Northwestern Crow,Corvus caurinus,647
TACR,Tamaulipas Crow,Corvus imparatus,648
HCRO,Hawaiian Crow,Corvus hawaiiensis,649
FICR,Fish Crow,Corvus ossifragus,650
CLNU,Clark's Nutcracker,Nucifraga columbiana,651
PIJA,Pinyon Jay,Gymnorhinus cyanocephalus,652
EUST,European Starling,Sturnus vulgaris,653
CRMY,Crested Myna,Acridotheres cristatellus,654
COMY,Common Myna,Acridotheres tristis,655
WVMY,White-vented Myna,Acridotheres javanicus,656
HIMY,Hill Myna,Gracula religiosa,657
JUMY,Jungle Myna,Acridotheres fuscus,658
BOBO,Bobolink,Dolichonyx oryzivorus,659
BHCO,Brown-headed Cowbird,Molothrus ater,660
BROC,Bronzed Cowbird,Molothrus aeneus,661
SHCO,Shiny Cowbird,Molothrus bonariensis,662
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,663
RWBL,Red-winged Blackbird,Agelaius phoeniceus,664
TRBL,Tricolored Blackbird,Agelaius tricolor,665
TSBL,Tawny-shouldered Blackbird,Agelaius humeralis,666
YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus,667
EAME,Eastern Meadowlark,Sturnella magna,668
WEME,Western Meadowlark,Sturnella neglecta,669
AUOR,Audubon's Oriole,Icterus graduacauda,670
ALOR,Altamira Oriole,Icterus gularis,671
SPOO,Spot-breasted Oriole,Icterus pectoralis,672
SCOR,Scott's Oriole,Icterus parisorum,673
BVOR,Black-vented Oriole,Icterus wagleri,674
BCOR,Black-cowled Oriole,Icterus prosthemelas,675
CUOR,Cuban Oriole,Icterus melanopsis,676
BAHO,Bahama Oriole,Icterus northropi,677
PROR,Puerto Rican Oriole,Icterus portoricensis,678
HIOR,Hispaniolan Oriole,Icterus dominicensis,679
HOOR,Hooded Oriole,Icterus cucullatus,680
STRO,Streak-backed Oriole,Icterus pustulatus,681
OROR,Orchard Oriole,Icterus spurius,682
BAOR,Baltimore Oriole,Icterus galbula,683
BBOH,Baltimore X Bullock's Oriole Hybrid,Icterus bullockii x galbula,684
BUOR,Bullock's Oriole,Icterus bullockii,685
RUBL,Rusty Blackbird,Euphagus carolinus,686
BRBL,Brewer's Blackbird,Euphagus cyanocephalus,687
COGR,Common Grackle,Quiscalus quiscula,688
GTGR,Great-tailed Grackle,Quiscalus mexicanus,689
BTGR,Boat-tailed Grackle,Quiscalus major,690
GAGR,Greater Antillean Grackle,Quiscalus niger,691
EVGR,Evening Grosbeak,Coccothraustes vespertinus,692
BRAM,Brambling,Fringilla montifringilla,693
HAWF,Hawfinch,Coccothraustes coccothraustes,694
COCH,Common Chaffinch,Fringilla coelebs,695
PIGR,Pine Grosbeak,Pinicola enucleator,696
EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,697
CORO,Common Rosefinch,Carpodacus erythrinus,698
PUFI,Purple Finch,Haemorhous purpureus,699
CAFI,Cassin's Finch,Haemorhous cassinii,700
HOFI,House Finch,Haemorhous mexicanus,701
RECR,Red Crossbill,Loxia curvirostra,702
WWCR,White-winged Crossbill,Loxia leucoptera,703
GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,704
BLRF,Black Rosy-Finch,Leucosticte atrata,705
BCRF,Brown-capped Rosy-Finch,Leucosticte australis,706
EUGO,European Goldfinch,Carduelis carduelis,707
ORGR,Oriental Greenfinch,Chloris sinica,708
HORE,Hoary Redpoll,Acanthis hornemanni,709
UNRE,Unidentified Common/Hoary Redpoll,Acanthis flamm./hornemanni,710
CORE,Common Redpoll,Acanthis flammea,711
AMGO,American Goldfinch,Spinus tristis,712
LEGO,Lesser Goldfinch,Spinus psaltria,713
LAGO,Lawrence's Goldfinch,Spinus lawrencei,714
RESI,Red Siskin,Spinus cucullatus,715
PISI,Pine Siskin,Spinus pinus,716
COCA,Common Canary,Serinus canaria,717
YFCA,Yellow-fronted Canary,Serinus mozambicus,718
SNBU,Snow Bunting,Plectrophenax nivalis,719
MKBU,McKay's Bunting,Plectrophenax hyperboreus,720
RUBU,Rustic Bunting,Emberiza rustica,721
LIBU,Little Bunting,Emberiza pusilla,722
GRBU,Gray Bunting,Emberiza variabilis,723
PALB,Pallas's Bunting,Emberiza pallasi,724
REBU,Reed Bunting,Emberiza schoeniclus,725
LALO,Lapland Longspur,Calcarius lapponicus,726
SMLO,Smith's Longspur,Calcarius pictus,727
CCLO,Chestnut-collared Longspur,Calcarius ornatus,728
MCLO,McCown's Longspur,Rhynchophanes mccownii,729
VESP,Vesper Sparrow,Pooecetes gramineus,730
IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps,731
SAVS,Savannah Sparrow,Passerculus sandwichensis,732
BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,733
LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus,734
BAIS,Baird's Sparrow,Ammodramus bairdii,735
GRSP,Grasshopper Sparrow,Ammodramus savannarum,736
FGSP,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus,737
HESP,Henslow's Sparrow,Ammodramus henslowii,738
LCSP,Le Conte's Sparrow,Ammodramus leconteii,739
SALS,Saltmarsh Sparrow,Ammodramus caudacutus,740
NESP,Nelson's Sparrow,Ammodramus nelsoni,741
STSP,Unidentified Sharp-tailed Sparrow,Ammodramus nelsoni/caudacutus,742
SESP,Seaside Sparrow,Ammodramus maritimus,743
DSSP,Dusky Seaside Sparrow,Ammodramus maritimus nigrescens,744
CSSS,Cape Sable Seaside Sparrow,Ammodramus maritimus mirabilis,745
LASP,Lark Sparrow,Chondestes grammacus,746
HASP,Harris's Sparrow,Zonotrichia querula,747
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,748
EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,749
MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,750
PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,751
GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,752
NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,753
GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,754
WTSP,White-throated Sparrow,Zonotrichia albicollis,755
RUFS,Rufous-collared Sparrow,Zonotrichia capensis,756
ZSHY,Zonotrichia Sparrow Hybrid,,757
ATSP,American Tree Sparrow,Spizella arborea,758
CHSP,Chipping Sparrow,Spizella passerina,759
CCSP,Clay-colored Sparrow,Spizella pallida,760
BRSP,Brewer's Sparrow,Spizella breweri,761
FISP,Field Sparrow,Spizella pusilla,762
WOSP,Worthen's Sparrow,Spizella wortheni,763
BCSP,Black-chinned Sparrow,Spizella atrogularis,764
WWJU,White-winged Junco,Junco hyemalis aikeni,765
SCJU,Slate-colored Junco,Junco hyemalis hyemalis,766
ORJU,Oregon Junco,Junco hyemalis oreganus,767
UDEJ,Dark-eyed Junco,Junco hyemalis,768
GHJU,Gray-headed Junco,Junco hyemalis caniceps,769
YEJU,Yellow-eyed Junco,Junco phaeonotus,770
BTSP,Black-throated Sparrow,Amphispiza bilineata,771
USSP,Unspecified Sage Sparrow,Artemisiospiza nevadensis/belli,772
SCBS,San Clemente Bell's Sparrow,Artemisiospiza belli clementeae,773
FSSP,Five-striped Sparrow,Amphispiza quinquestriata,774
SBSP,Sagebrush Sparrow,Artemisiospiza nevadensis,775
BESP,Bell's Sparrow,Artemisiospiza belli,776
BACS,Bachman's Sparrow,Peucaea aestivalis,777
BOSP,Botteri's Sparrow,Peucaea botterii,778
CASP,Cassin's Sparrow,Peucaea cassinii,779
RWSP,Rufous-winged Sparrow,Peucaea carpalis,780
RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,781
SOSP,Song Sparrow,Melospiza melodia,782
LISP,Lincoln's Sparrow,Melospiza lincolnii,783
SWSP,Swamp Sparrow,Melospiza georgiana,784
FOSP,Fox Sparrow,Passerella iliaca,785
OLSP,Olive Sparrow,Arremonops rufivirgatus,786
SAFI,Saffron Finch,Sicalis flaveola,787
EATO,Eastern Towhee,Pipilo erythrophthalmus,788
URST,Unidentified Rufous-sided Towhee,Pipilo maculatus/erythrophthalmus,789
SPTO,Spotted Towhee,Pipilo maculatus,790
GTTO,Green-tailed Towhee,Pipilo chlorurus,791
HYTO,Hybrid Towhee,,792
CANT,Canyon Towhee,Melozone fusca,793
CALT,California Towhee,Melozone crissalis,794
ICTO,Inyo California Towhee,Melozone crissalis eremophilus,795
ABTO,Abert's Towhee,Melozone aberti,796
RCCA,Red-crested Cardinal,Paroaria coronata,797
YBCA,Yellow-billed Cardinal,Paroaria capitata,798
NOCA,Northern Cardinal,Cardinalis cardinalis,799
PYRR,Pyrrhuloxia,Cardinalis sinuatus,800
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,801
BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,802
YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,803
BLGR,Blue Grosbeak,Passerina caerulea,804
BLBU,Blue Bunting,Cyanocompsa parellina,805
INBU,Indigo Bunting,Passerina cyanea,806
ILBH,Indigo X Lazuli Bunting Hybrid,Passerina amoena x cyanea,807
LAZB,Lazuli Bunting,Passerina amoena,808
VABU,Varied Bunting,Passerina versicolor,809
PABU,Painted Bunting,Passerina ciris,810
WCSE,White-collared Seedeater,Sporophila torqueola,811
PUEB,Puerto Rican Bullfinch,Loxigilla portoricensis,812
LESB,Lesser Antillean Bullfinch,Loxigilla noctis,813
BFGR,Black-faced Grassquit,Tiaris bicolor,814
CUGR,Cuban Grassquit,Tiaris canorus,815
YFGR,Yellow-faced Grassquit,Tiaris olivaceus,816
DICK,Dickcissel,Spiza americana,817
LARB,Lark Bunting,Calamospiza melanocorys,818
ANEU,Antillean Euphonia,Euphonia musica,819
WETA,Western Tanager,Piranga ludoviciana,820
FCTA,Flame-colored Tanager,Piranga bidentata,821
SCTA,Scarlet Tanager,Piranga olivacea,822
HETA,Hepatic Tanager,Piranga flava,823
SUTA,Summer Tanager,Piranga rubra,824
WESP,Western Spindalis,Spindalis zena,825
PRTA,Puerto Rican Tanager,Nesospingus speculiferus,826
PUMA,Purple Martin,Progne subis,827
GBMA,Gray-breasted Martin,Progne chalybea,828
CAMA,Caribbean Martin,Progne dominicensis,829
CLSW,Cliff Swallow,Petrochelidon pyrrhonota,830
CASW,Cave Swallow,Petrochelidon fulva,831
BARS,Barn Swallow,Hirundo rustica,832
TRES,Tree Swallow,Tachycineta bicolor,833
VGSW,Violet-green Swallow,Tachycineta thalassina,834
BAHS,Bahama Swallow,Tachycineta cyaneoviridis,835
BANS,Bank Swallow,Riparia riparia,836
NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,837
BOWA,Bohemian Waxwing,Bombycilla garrulus,838
CEDW,Cedar Waxwing,Bombycilla cedrorum,839
PHAI,Phainopepla,Phainopepla nitens,840
NSHR,Northern Shrike,Lanius excubitor,841
BRSH,Brown Shrike,Lanius cristatus,842
LOSH,Loggerhead Shrike,Lanius ludovicianus,843
KAOO,Kauai Oo,Moho braccatus,844
BIOO,Bishop's Oo,Moho bishopi,845
JAWE,Japanese White-eye,Zosterops japonicus,846
SLSH,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,847
BWVI,Black-whiskered Vireo,Vireo altiloquus,848
REVI,Red-eyed Vireo,Vireo olivaceus,849
YGVI,Yellow-green Vireo,Vireo flavoviridis,850
PHVI,Philadelphia Vireo,Vireo philadelphicus,851
WAVI,Warbling Vireo,Vireo gilvus,852
YTVI,Yellow-throated Vireo,Vireo flavifrons,853
BHVI,Blue-headed Vireo,Vireo solitarius,854
PLVI,Plumbeous Vireo,Vireo plumbeus,855
CAVI,Cassin's Vireo,Vireo cassinii,856
SOVI,Solitary Vireo,Vireo plumbeus/cassinii/solitarius,857
BCVI,Black-capped Vireo,Vireo atricapilla,858
WEVI,White-eyed Vireo,Vireo griseus,859
HUVI,Hutton's Vireo,Vireo huttoni,860
BEVI,Bell's Vireo,Vireo bellii,861
PRVI,Puerto Rican Vireo,Vireo latimeri,862
LBVI,Least Bell's Vireo,Vireo bellii pusillus,863
GRVI,Gray Vireo,Vireo vicinior,864
BANA,Bananaquit,Coereba flaveola,865
BAWW,Black-and-white Warbler,Mniotilta varia,866
HYWA,Hybrid Warbler,,867
PROW,Prothonotary Warbler,Protonotaria citrea,868
SWWA,Swainson's Warbler,Limnothlypis swainsonii,869
WEWA,Worm-eating Warbler,Helmitheros vermivorum,870
BWWA,Blue-winged Warbler,Vermivora cyanoptera,871
BRWA,Brewster's Warbler,Vermivora cyanoptera x chrysoptera (F1 hybrid),872
LAWA,Lawrence's Warbler,Vermivora cyanoptera x chrysoptera (F2 backcross),873
GBWH,Golden-winged x Blue-winged Warbler Hybrid,Vermivora cyanoptera x chrysoptera,874
GWWA,Golden-winged Warbler,Vermivora chrysoptera,875
LUWA,Lucy's Warbler,Oreothlypis luciae,876
VIWA,Virginia's Warbler,Oreothlypis virginiae,877
NAWA,Nashville Warbler,Oreothlypis ruficapilla,878
OCWA,Orange-crowned Warbler,Oreothlypis celata,879
TEWA,Tennessee Warbler,Oreothlypis peregrina,880
COLW,Colima Warbler,Oreothlypis crissalis,881
NOPA,Northern Parula,Setophaga americana,882
TRPA,Tropical Parula,Setophaga pitiayumi,883
CMWA,Cape May Warbler,Setophaga tigrina,884
OLWA,Olive Warbler,Peucedramus taeniatus,885
YEWA,Yellow Warbler,Setophaga petechia,886
BTBW,Black-throated Blue Warbler,Setophaga caerulescens,887
MYWA,Myrtle Warbler,Setophaga coronata coronata,888
YRWA,Yellow-rumped Warbler,Setophaga coronata,889
AUWA,Audubon's Warbler,Setophaga coronata auduboni,890
MAWA,Magnolia Warbler,Setophaga magnolia,891
CERW,Cerulean Warbler,Setophaga cerulea,892
EWWA,Elfin-woods Warbler,Setophaga angelae,893
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,894
BBWA,Bay-breasted Warbler,Setophaga castanea,895
BLPW,Blackpoll Warbler,Setophaga striata,896
BLBW,Blackburnian Warbler,Setophaga fusca,897
YTWA,Yellow-throated Warbler,Setophaga dominica,898
SUWA,Sutton's Warbler,Setophaga americana x dominica,899
GRWA,Grace's Warbler,Setophaga graciae,900
ADWA,Adelaide's Warbler,Setophaga adelaidae,901
BARW,Barbuda Warbler,Setophaga subita,902
SLWA,St Lucia Warbler,Setophaga delicata,903
BTYW,Black-throated Gray Warbler,Setophaga nigrescens,904
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,905
BTNW,Black-throated Green Warbler,Setophaga virens,906
TOWA,Townsend's Warbler,Setophaga townsendi,907
THWH,Townsend's X Hermit Warbler Hybrid,Setophaga townsendi x occidentalis,908
HEWA,Hermit Warbler,Setophaga occidentalis,909
KIWA,Kirtland's Warbler,Setophaga kirtlandii,910
PIWA,Pine Warbler,Setophaga pinus,911
WPWA,Western Palm Warbler,Setophaga palmarum palmarum,912
YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,913
PRAW,Prairie Warbler,Setophaga discolor,914
OVEN,Ovenbird,Seiurus aurocapilla,915
NOWA,Northern Waterthrush,Parkesia noveboracensis,916
LOWA,Louisiana Waterthrush,Parkesia motacilla,917
KEWA,Kentucky Warbler,Geothlypis formosa,918
CONW,Connecticut Warbler,Oporornis agilis,919
MOWA,Mourning Warbler,Geothlypis philadelphia,920
MGWA,MacGillivray's Warbler,Geothlypis tolmiei,921
COYE,Common Yellowthroat,Geothlypis trichas,922
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,923
YBCH,Yellow-breasted Chat,Icteria virens,924
HOWA,Hooded Warbler,Setophaga citrina,925
WIWA,Wilson's Warbler,Cardellina pusilla,926
CAWA,Canada Warbler,Cardellina canadensis,927
AMRE,American Redstart,Setophaga ruticilla,928
PARE,Painted Redstart,Myioborus pictus,929
FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,930
HOSP,House Sparrow,Passer domesticus,931
ETSP,Eurasian Tree Sparrow,Passer montanus,932
SLAR,Slate-throated Redstart,Myioborus miniatus,933
RFWA,Red-faced Warbler,Cardellina rubrifrons,934
GOLW,Golden-crowned Warbler,Basileuterus culicivorus,935
RCWA,Rufous-capped Warbler,Basileuterus rufifrons,936
WHWA,White Wagtail,Motacilla alba,937
BWAG,Black-backed Wagtail,Motacilla alba lugens,938
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,939
GRAW,Gray Wagtail,Motacilla cinerea,940
AMPI,American Pipit,Anthus rubescens,941
PEPI,Pechora Pipit,Anthus gustavi,942
OBPI,Olive-backed Pipit,Anthus hodgsoni,943
RTPI,Red-throated Pipit,Anthus cervinus,944
SPPI,Sprague's Pipit,Anthus spragueii,945
AMDI,American Dipper,Cinclus mexicanus,946
SATH,Sage Thrasher,Oreoscoptes montanus,947
NOMO,Northern Mockingbird,Mimus polyglottos,948
BAMO,Bahama Mockingbird,Mimus gundlachii,949
TRMO,Tropical Mockingbird,Mimus gilvus,950
GRCA,Gray Catbird,Dumetella carolinensis,951
BRTH,Brown Thrasher,Toxostoma rufum,952
LBTH,Long-billed Thrasher,Toxostoma longirostre,953
CBTH,Curve-billed Thrasher,Toxostoma curvirostre,954
BETH,Bendire's Thrasher,Toxostoma bendirei,955
CATH,California Thrasher,Toxostoma redivivum,956
LCTH,Le Conte's Thrasher,Toxostoma lecontei,957
PETH,Pearly-eyed Thrasher,Margarops fuscatus,958
CRTH,Crissal Thrasher,Toxostoma crissale,959
CACW,Cactus Wren,Campylorhynchus brunneicapillus,960
ROWR,Rock Wren,Salpinctes obsoletus,961
CANW,Canyon Wren,Catherpes mexicanus,962
CARW,Carolina Wren,Thryothorus ludovicianus,963
BEWR,Bewick's Wren,Thryomanes bewickii,964
HOWR,House Wren,Troglodytes aedon,965
WIWR,Winter Wren,Troglodytes hiemalis,966
PAWR,Pacific Wren,Troglodytes pacificus,967
SEWR,Sedge Wren,Cistothorus platensis,968
MAWR,Marsh Wren,Cistothorus palustris,969
BRCR,Brown Creeper,Certhia americana,970
RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,971
RVBU,Red-vented Bulbul,Pycnonotus cafer,972
WBNU,White-breasted Nuthatch,Sitta carolinensis,973
RBNU,Red-breasted Nuthatch,Sitta canadensis,974
BHNU,Brown-headed Nuthatch,Sitta pusilla,975
PYNU,Pygmy Nuthatch,Sitta pygmaea,976
TUTI,Tufted Titmouse,Baeolophus bicolor,977
BCTI,Black-crested Titmouse,Baeolophus atricristatus,978
OATI,Oak Titmouse,Baeolophus inornatus,979
JUTI,Juniper Titmouse,Baeolophus ridgwayi,980
PLTI,Plain Titmouse,Baeolophus inornatus/ridgwayi,981
BRTI,Bridled Titmouse,Baeolophus wollweberi,982
VATI,Varied Tit,Cyanistes varius,983
BCCH,Black-capped Chickadee,Poecile atricapillus,984
HYCH,Hybrid Chickadee,,985
CACH,Carolina Chickadee,Poecile carolinensis,986
MECH,Mexican Chickadee,Poecile sclateri,987
MOCH,Mountain Chickadee,Poecile gambeli,988
GHCH,Gray-headed Chickadee,Poecile cinctus,989
BOCH,Boreal Chickadee,Poecile hudsonicus,990
CBCH,Chestnut-backed Chickadee,Poecile rufescens,991
WREN,Wrentit,Chamaea fasciata,992
RBLE,Red-billed Leiothrix,Leiothrix lutea,993
HWAM,Hwamei,Garrulax canorus,994
GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,995
OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,996
BUSH,Bushtit,Psaltriparus minimus,997
VERD,Verdin,Auriparus flaviceps,998
JABW,Japanese Bush-Warbler,Cettia diphone,999
MILL,Millerbird,Acrocephalus familiaris,1000
ARWA,Arctic Warbler,Phylloscopus borealis,1001
MIGW,Middendorff's Grasshopper-Warbler,Locustella ochotensis,1002
WOWA,Wood Warbler,Phylloscopus sibilatrix,1003
DUWA,Dusky Warbler,Phylloscopus fuscatus,1004
LANW,Lanceolated Warbler,Locustella lanceolata,1005
GCKI,Golden-crowned Kinglet,Regulus satrapa,1006
RCKI,Ruby-crowned Kinglet,Regulus calendula,1007
SIAC,Siberian Accentor,Prunella montanella,1008
BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,1009
BTGN,Black-tailed Gnatcatcher,Polioptila melanura,1010
CAGN,California Gnatcatcher,Polioptila californica,1011
BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,1012
BACG,Baja Gnatcatcher,Polioptila californica,1013
TOSO,Townsend's Solitaire,Myadestes townsendi,1014
OMAO,Omao,Myadestes obscurus,1015
PUAI,Puaiohi,Myadestes palmeri,1016
KAMA,Kamao,Myadestes myadestinus,1017
OLOM,Olomao,Myadestes lanaiensis,1018
WOTH,Wood Thrush,Hylocichla mustelina,1019
VEER,Veery,Catharus fuscescens,1020
GCTH,Gray-cheeked Thrush,Catharus minimus,1021
BITH,Bicknell's Thrush,Catharus bicknelli,1022
